drug1, drug2, mechanism, action, property, description
Amiodarone,Miconazole,decrease,1/2,M,The metabolism of Miconazole can be decreased when combined with Amiodarone
Amiodarone,Midazolam,decrease,1/2,M,The metabolism of Midazolam can be decreased when combined with Amiodarone
Amiodarone,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Amiodarone
Amiodarone,Minaprine,decrease,1/2,M,The metabolism of Minaprine can be decreased when combined with Amiodarone
Amiodarone,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Amiodarone
Amiodarone,Mirtazapine,decrease,1/2,M,The metabolism of Mirtazapine can be decreased when combined with Amiodarone
Amiodarone,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Amiodarone
Amiodarone,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Amiodarone
Amiodarone,Montelukast,decrease,1/2,M,The metabolism of Montelukast can be decreased when combined with Amiodarone
Amiodarone,Morphine,decrease,1/2,M,The metabolism of Morphine can be decreased when combined with Amiodarone
Amiodarone,Mycophenolatemofetil,decrease,1/2,M,The metabolism of Mycophenolatemofetil can be decreased when combined with Amiodarone
Amiodarone,Nabiximols,decrease,1/2,M,The metabolism of Nabiximols can be decreased when combined with Amiodarone
Amiodarone,Naloxone,decrease,1/2,M,The metabolism of Naloxone can be decreased when combined with Amiodarone
Amiodarone,Naproxen,decrease,1/2,M,The metabolism of Naproxen can be decreased when combined with Amiodarone
Amiodarone,Nateglinide,decrease,1/2,M,The metabolism of Nateglinide can be decreased when combined with Amiodarone
Amiodarone,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Amiodarone
Amiodarone,Neratinib,decrease,1/2,M,The metabolism of Neratinib can be decreased when combined with Amiodarone
Amiodarone,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Amiodarone
Amitriptyline,Armodafinil,decrease,1/2,M,The metabolism of Armodafinil can be decreased when combined with Amitriptyline
Amitriptyline,Atomoxetine,decrease,1/2,M,The metabolism of Atomoxetine can be decreased when combined with Amitriptyline
Amitriptyline,Azithromycin,decrease,1/2,M,The metabolism of Azithromycin can be decreased when combined with Amitriptyline
Amitriptyline,Betaxolol,decrease,1/2,M,The metabolism of Betaxolol can be decreased when combined with Amitriptyline
Amitriptyline,Bortezomib,decrease,1/2,M,The metabolism of Bortezomib can be decreased when combined with Amitriptyline
Amitriptyline,Bupropion,decrease,1/2,M,The metabolism of Bupropion can be decreased when combined with Amitriptyline
Amitriptyline,Caffeine,decrease,1/2,M,The metabolism of Caffeine can be decreased when combined with Amitriptyline
Amitriptyline,Capecitabine,decrease,1/2,M,The metabolism of Capecitabine can be decreased when combined with Amitriptyline
Amitriptyline,Celecoxib,decrease,1/2,M,The metabolism of Celecoxib can be decreased when combined with Amitriptyline
Amitriptyline,Chloramphenicol,decrease,1/2,M,The metabolism of Chloramphenicol can be decreased when combined with Amitriptyline
Amitriptyline,Chloroquine,decrease,1/2,M,The metabolism of Chloroquine can be decreased when combined with Amitriptyline
Amitriptyline,Chlorpromazine,decrease,1/2,M,The metabolism of Chlorpromazine can be decreased when combined with Amitriptyline
Amitriptyline,Cholecalciferol,decrease,1/2,M,The metabolism of Cholecalciferol can be decreased when combined with Amitriptyline
Amitriptyline,Cimetidine,decrease,1/2,M,The metabolism of Cimetidine can be decreased when combined with Amitriptyline
Amitriptyline,Clarithromycin,decrease,1/2,M,The metabolism of Clarithromycin can be decreased when combined with Amitriptyline
Amitriptyline,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Amitriptyline
Amitriptyline,Clopidogrel,decrease,1/2,M,The metabolism of Clopidogrel can be decreased when combined with Amitriptyline
Amitriptyline,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Amitriptyline
Amitriptyline,Clozapine,decrease,1/2,M,The metabolism of Clozapine can be decreased when combined with Amitriptyline
Amitriptyline,Cocaine,decrease,1/2,M,The metabolism of Cocaine can be decreased when combined with Amitriptyline
Amitriptyline,Crisaborole,decrease,1/2,M,The metabolism of Crisaborole can be decreased when combined with Amitriptyline
Amitriptyline,Crizotinib,decrease,1/2,M,The metabolism of Crizotinib can be decreased when combined with Amitriptyline
Amitriptyline,Cyclosporine,decrease,1/2,M,The metabolism of Cyclosporine can be decreased when combined with Amitriptyline
Amitriptyline,Floxuridine,decrease,1/2,M,The metabolism of Floxuridine can be decreased when combined with Amitriptyline
Amitriptyline,Fluorouracil,decrease,1/2,M,The metabolism of Fluorouracil can be decreased when combined with Amitriptyline
Amitriptyline,Fluvastatin,decrease,1/2,M,The metabolism of Fluvastatin can be decreased when combined with Amitriptyline
Amitriptyline,Gemfibrozil,decrease,1/2,M,The metabolism of Gemfibrozil can be decreased when combined with Amitriptyline
Amitriptyline,Haloperidol,decrease,1/2,M,The metabolism of Haloperidol can be decreased when combined with Amitriptyline
Amitriptyline,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Amitriptyline
Amitriptyline,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Amitriptyline
Amitriptyline,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Amitriptyline
Amitriptyline,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Amitriptyline
Amitriptyline,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Amitriptyline
Amitriptyline,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Amitriptyline
Amitriptyline,Lapatinib,decrease,1/2,M,The metabolism of Lapatinib can be decreased when combined with Amitriptyline
Amitriptyline,Leflunomide,decrease,1/2,M,The metabolism of Leflunomide can be decreased when combined with Amitriptyline
Amitriptyline,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Amitriptyline
Amitriptyline,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Amitriptyline
Amitriptyline,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Amitriptyline
Amitriptyline,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Amitriptyline
Amitriptyline,Mexiletine,decrease,1/2,M,The metabolism of Mexiletine can be decreased when combined with Amitriptyline
Amitriptyline,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Amitriptyline
Amitriptyline,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Amitriptyline
Amitriptyline,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Amitriptyline
Amitriptyline,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Amitriptyline
Amitriptyline,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Amitriptyline
Amlodipine,Atomoxetine,decrease,1/2,M,The metabolism of Atomoxetine can be decreased when combined with Amlodipine
Amlodipine,Bortezomib,decrease,1/2,M,The metabolism of Bortezomib can be decreased when combined with Amlodipine
Amlodipine,Clarithromycin,decrease,1/2,M,The metabolism of Clarithromycin can be decreased when combined with Amlodipine
Amlodipine,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Amlodipine
Amlodipine,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Amlodipine
Amlodipine,Crizotinib,decrease,1/2,M,The metabolism of Crizotinib can be decreased when combined with Amlodipine
Amlodipine,Cyclosporine,decrease,1/2,M,The metabolism of Cyclosporine can be decreased when combined with Amlodipine
Amlodipine,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Amlodipine
Amlodipine,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Amlodipine
Amlodipine,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Amlodipine
Amlodipine,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Amlodipine
Amlodipine,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Amlodipine
Amlodipine,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Amlodipine
Amobarbital,Chloramphenicol,decrease,1/2,M,The metabolism of Chloramphenicol can be decreased when combined with Amobarbital
Amodiaquine,Betaxolol,decrease,1/2,M,The metabolism of Betaxolol can be decreased when combined with Amodiaquine
Amodiaquine,Bisoprolol,decrease,1/2,M,The metabolism of Bisoprolol can be decreased when combined with Amodiaquine
Amodiaquine,Carteolol,decrease,1/2,M,The metabolism of Carteolol can be decreased when combined with Amodiaquine
Amodiaquine,Carvedilol,decrease,1/2,M,The metabolism of Carvedilol can be decreased when combined with Amodiaquine
Amodiaquine,Celiprolol,decrease,1/2,M,The metabolism of Celiprolol can be decreased when combined with Amodiaquine
Amphetamine,Haloperidol,decrease,1/2,M,The metabolism of Haloperidol can be decreased when combined with Amphetamine
Amphetamine,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Amphetamine
Amphetamine,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Amphetamine
Amphetamine,Lisuride,decrease,1/2,M,The metabolism of Lisuride can be decreased when combined with Amphetamine
Amphetamine,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Amphetamine
Amphetamine,Methotrimeprazine,decrease,1/2,M,The metabolism of Methotrimeprazine can be decreased when combined with Amphetamine
Amphetamine,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Amphetamine
Amphetamine,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Amphetamine
Amphetamine,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Amphetamine
Amsacrine,Atomoxetine,decrease,1/2,M,The metabolism of Atomoxetine can be decreased when combined with Amsacrine
Amsacrine,Betaxolol,decrease,1/2,M,The metabolism of Betaxolol can be decreased when combined with Amsacrine
Amsacrine,Bupropion,decrease,1/2,M,The metabolism of Bupropion can be decreased when combined with Amsacrine
Amsacrine,Celecoxib,decrease,1/2,M,The metabolism of Celecoxib can be decreased when combined with Amsacrine
Amsacrine,Chloroquine,decrease,1/2,M,The metabolism of Chloroquine can be decreased when combined with Amsacrine
Amsacrine,Chlorpromazine,decrease,1/2,M,The metabolism of Chlorpromazine can be decreased when combined with Amsacrine
Amsacrine,Cholecalciferol,decrease,1/2,M,The metabolism of Cholecalciferol can be decreased when combined with Amsacrine
Amsacrine,Cimetidine,decrease,1/2,M,The metabolism of Cimetidine can be decreased when combined with Amsacrine
Amsacrine,Cinacalcet,decrease,1/2,M,The metabolism of Cinacalcet can be decreased when combined with Amsacrine
Amsacrine,Citalopram,decrease,1/2,M,The metabolism of Citalopram can be decreased when combined with Amsacrine
Amsacrine,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Amsacrine
Amsacrine,Clomipramine,decrease,1/2,M,The metabolism of Clomipramine can be decreased when combined with Amsacrine
Amsacrine,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Amsacrine
Amsacrine,Cocaine,decrease,1/2,M,The metabolism of Cocaine can be decreased when combined with Amsacrine
Antipyrine,Floxuridine,decrease,1/2,M,The metabolism of Floxuridine can be decreased when combined with Antipyrine
Antipyrine,Fluorouracil,decrease,1/2,M,The metabolism of Fluorouracil can be decreased when combined with Antipyrine
Antipyrine,Fluoxetine,decrease,1/2,M,The metabolism of Fluoxetine can be decreased when combined with Antipyrine
Antipyrine,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Antipyrine
Antipyrine,Gemfibrozil,decrease,1/2,M,The metabolism of Gemfibrozil can be decreased when combined with Antipyrine
Antipyrine,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Antipyrine
Antipyrine,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Antipyrine
Antipyrine,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Antipyrine
Antipyrine,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Antipyrine
Antipyrine,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Antipyrine
Antipyrine,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Antipyrine
Antipyrine,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Antipyrine
Antipyrine,Lapatinib,decrease,1/2,M,The metabolism of Lapatinib can be decreased when combined with Antipyrine
Antipyrine,Leflunomide,decrease,1/2,M,The metabolism of Leflunomide can be decreased when combined with Antipyrine
Antipyrine,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Antipyrine
Antipyrine,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Antipyrine
Antipyrine,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Antipyrine
Antipyrine,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Antipyrine
Antipyrine,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Antipyrine
Antipyrine,Methotrimeprazine,decrease,1/2,M,The metabolism of Methotrimeprazine can be decreased when combined with Antipyrine
Antipyrine,Mexiletine,decrease,1/2,M,The metabolism of Mexiletine can be decreased when combined with Antipyrine
Antipyrine,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Antipyrine
Antipyrine,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Antipyrine
Antipyrine,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Antipyrine
Antipyrine,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Antipyrine
Antipyrine,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Antipyrine
Antipyrine,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Antipyrine
Apalutamide,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Apalutamide
Apalutamide,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Apalutamide
Apalutamide,Crisaborole,decrease,1/2,M,The metabolism of Crisaborole can be decreased when combined with Apalutamide
Apalutamide,Doxycycline,decrease,1/2,M,The metabolism of Doxycycline can be decreased when combined with Apalutamide
Apalutamide,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Apalutamide
Apixaban,Armodafinil,decrease,1/2,M,The metabolism of Armodafinil can be decreased when combined with Apixaban
Apixaban,Azithromycin,decrease,1/2,M,The metabolism of Azithromycin can be decreased when combined with Apixaban
Apixaban,Caffeine,decrease,1/2,M,The metabolism of Caffeine can be decreased when combined with Apixaban
Apixaban,Capecitabine,decrease,1/2,M,The metabolism of Capecitabine can be decreased when combined with Apixaban
Apixaban,Chloramphenicol,decrease,1/2,M,The metabolism of Chloramphenicol can be decreased when combined with Apixaban
Apixaban,Cholecalciferol,decrease,1/2,M,The metabolism of Cholecalciferol can be decreased when combined with Apixaban
Apixaban,Cimetidine,decrease,1/2,M,The metabolism of Cimetidine can be decreased when combined with Apixaban
Apixaban,Citalopram,decrease,1/2,M,The metabolism of Citalopram can be decreased when combined with Apixaban
Apixaban,Crisaborole,decrease,1/2,M,The metabolism of Crisaborole can be decreased when combined with Apixaban
Apixaban,Dosulepin,decrease,1/2,M,The metabolism of Dosulepin can be decreased when combined with Apixaban
Apixaban,Eslicarbazepineacetate,decrease,1/2,M,The metabolism of Eslicarbazepineacetate can be decreased when combined with Apixaban
Apixaban,Esomeprazole,decrease,1/2,M,The metabolism of Esomeprazole can be decreased when combined with Apixaban
Apixaban,Felodipine,decrease,1/2,M,The metabolism of Felodipine can be decreased when combined with Apixaban
Apixaban,Floxuridine,decrease,1/2,M,The metabolism of Floxuridine can be decreased when combined with Apixaban
Apixaban,Fluorouracil,decrease,1/2,M,The metabolism of Fluorouracil can be decreased when combined with Apixaban
Apixaban,Fluoxetine,decrease,1/2,M,The metabolism of Fluoxetine can be decreased when combined with Apixaban
Apixaban,Fluvastatin,decrease,1/2,M,The metabolism of Fluvastatin can be decreased when combined with Apixaban
Apixaban,Gemfibrozil,decrease,1/2,M,The metabolism of Gemfibrozil can be decreased when combined with Apixaban
Apixaban,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Apixaban
Apixaban,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Apixaban
Apixaban,Lapatinib,decrease,1/2,M,The metabolism of Lapatinib can be decreased when combined with Apixaban
Apixaban,Leflunomide,decrease,1/2,M,The metabolism of Leflunomide can be decreased when combined with Apixaban
Apixaban,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Apixaban
Apixaban,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Apixaban
Apixaban,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Apixaban
Apixaban,Mexiletine,decrease,1/2,M,The metabolism of Mexiletine can be decreased when combined with Apixaban
Apixaban,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Apixaban
Apixaban,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Apixaban
Apixaban,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Apixaban
Apixaban,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Apixaban
Apomorphine,Minaprine,decrease,1/2,M,The metabolism of Minaprine can be decreased when combined with Apomorphine
Apomorphine,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Apomorphine
Apremilast,Atomoxetine,decrease,1/2,M,The metabolism of Atomoxetine can be decreased when combined with Apremilast
Apremilast,Bortezomib,decrease,1/2,M,The metabolism of Bortezomib can be decreased when combined with Apremilast
Apremilast,Clarithromycin,decrease,1/2,M,The metabolism of Clarithromycin can be decreased when combined with Apremilast
Apremilast,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Apremilast
Apremilast,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Apremilast
Apremilast,Crizotinib,decrease,1/2,M,The metabolism of Crizotinib can be decreased when combined with Apremilast
Apremilast,Dihydroergotamine,decrease,1/2,M,The metabolism of Dihydroergotamine can be decreased when combined with Apremilast
Apremilast,Diltiazem,decrease,1/2,M,The metabolism of Diltiazem can be decreased when combined with Apremilast
Apremilast,Doxycycline,decrease,1/2,M,The metabolism of Doxycycline can be decreased when combined with Apremilast
Apremilast,Dronedarone,decrease,1/2,M,The metabolism of Dronedarone can be decreased when combined with Apremilast
Apremilast,Erythromycin,decrease,1/2,M,The metabolism of Erythromycin can be decreased when combined with Apremilast
Apremilast,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Apremilast
Apremilast,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Apremilast
Apremilast,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Apremilast
Apremilast,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Apremilast
Apremilast,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Apremilast
Apremilast,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Apremilast
Apremilast,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Apremilast
Aprepitant,Armodafinil,decrease,1/2,M,The metabolism of Armodafinil can be decreased when combined with Aprepitant
Aprepitant,Atomoxetine,decrease,1/2,M,The metabolism of Atomoxetine can be decreased when combined with Aprepitant
Aprepitant,Chloramphenicol,decrease,1/2,M,The metabolism of Chloramphenicol can be decreased when combined with Aprepitant
Aprepitant,Cimetidine,decrease,1/2,M,The metabolism of Cimetidine can be decreased when combined with Aprepitant
Aprepitant,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Aprepitant
Aprepitant,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Aprepitant
Aprepitant,Dosulepin,decrease,1/2,M,The metabolism of Dosulepin can be decreased when combined with Aprepitant
Aprepitant,Doxycycline,decrease,1/2,M,The metabolism of Doxycycline can be decreased when combined with Aprepitant
Aprepitant,Eslicarbazepineacetate,decrease,1/2,M,The metabolism of Eslicarbazepineacetate can be decreased when combined with Aprepitant
Aprepitant,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Aprepitant
Aprepitant,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Aprepitant
Aprepitant,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Aprepitant
Aprindine,Atomoxetine,decrease,1/2,M,The metabolism of Atomoxetine can be decreased when combined with Aprindine
Aprindine,Betaxolol,decrease,1/2,M,The metabolism of Betaxolol can be decreased when combined with Aprindine
Aprindine,Bupropion,decrease,1/2,M,The metabolism of Bupropion can be decreased when combined with Aprindine
Aprindine,Celecoxib,decrease,1/2,M,The metabolism of Celecoxib can be decreased when combined with Aprindine
Aprindine,Chloroquine,decrease,1/2,M,The metabolism of Chloroquine can be decreased when combined with Aprindine
Aprindine,Chlorpromazine,decrease,1/2,M,The metabolism of Chlorpromazine can be decreased when combined with Aprindine
Aprindine,Cholecalciferol,decrease,1/2,M,The metabolism of Cholecalciferol can be decreased when combined with Aprindine
Aprindine,Cimetidine,decrease,1/2,M,The metabolism of Cimetidine can be decreased when combined with Aprindine
Aprindine,Cinacalcet,decrease,1/2,M,The metabolism of Cinacalcet can be decreased when combined with Aprindine
Aprindine,Citalopram,decrease,1/2,M,The metabolism of Citalopram can be decreased when combined with Aprindine
Aprindine,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Aprindine
Aprindine,Clomipramine,decrease,1/2,M,The metabolism of Clomipramine can be decreased when combined with Aprindine
Aprindine,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Aprindine
Aprindine,Clozapine,decrease,1/2,M,The metabolism of Clozapine can be decreased when combined with Aprindine
Aprindine,Cocaine,decrease,1/2,M,The metabolism of Cocaine can be decreased when combined with Aprindine
Aprindine,Darifenacin,decrease,1/2,M,The metabolism of Darifenacin can be decreased when combined with Aprindine
Aprindine,Desipramine,decrease,1/2,M,The metabolism of Desipramine can be decreased when combined with Aprindine
Aprindine,Diphenhydramine,decrease,1/2,M,The metabolism of Diphenhydramine can be decreased when combined with Aprindine
Aprindine,Dosulepin,decrease,1/2,M,The metabolism of Dosulepin can be decreased when combined with Aprindine
Aprindine,Dronedarone,decrease,1/2,M,The metabolism of Dronedarone can be decreased when combined with Aprindine
Aprindine,Duloxetine,decrease,1/2,M,The metabolism of Duloxetine can be decreased when combined with Aprindine
Aprindine,Eliglustat,decrease,1/2,M,The metabolism of Eliglustat can be decreased when combined with Aprindine
Aprindine,Fluoxetine,decrease,1/2,M,The metabolism of Fluoxetine can be decreased when combined with Aprindine
Aprindine,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Aprindine
Aprindine,Haloperidol,decrease,1/2,M,The metabolism of Haloperidol can be decreased when combined with Aprindine
Aprindine,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Aprindine
Aprindine,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Aprindine
Aprindine,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Aprindine
Aprindine,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Aprindine
Aprindine,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Aprindine
Aprindine,Methotrimeprazine,decrease,1/2,M,The metabolism of Methotrimeprazine can be decreased when combined with Aprindine
Aprindine,Metoprolol,decrease,1/2,M,The metabolism of Metoprolol can be decreased when combined with Aprindine
Aprindine,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Aprindine
Aprindine,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Aprindine
Aprindine,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Aprindine
Arformoterol,Armodafinil,decrease,1/2,M,The metabolism of Armodafinil can be decreased when combined with Arformoterol
Arformoterol,Betaxolol,decrease,1/2,M,The metabolism of Betaxolol can be decreased when combined with Arformoterol
Arformoterol,Bortezomib,decrease,1/2,M,The metabolism of Bortezomib can be decreased when combined with Arformoterol
Arformoterol,Bupropion,decrease,1/2,M,The metabolism of Bupropion can be decreased when combined with Arformoterol
Arformoterol,Capecitabine,decrease,1/2,M,The metabolism of Capecitabine can be decreased when combined with Arformoterol
Arformoterol,Celecoxib,decrease,1/2,M,The metabolism of Celecoxib can be decreased when combined with Arformoterol
Arformoterol,Chloramphenicol,decrease,1/2,M,The metabolism of Chloramphenicol can be decreased when combined with Arformoterol
Arformoterol,Chloroquine,decrease,1/2,M,The metabolism of Chloroquine can be decreased when combined with Arformoterol
Arformoterol,Chlorpromazine,decrease,1/2,M,The metabolism of Chlorpromazine can be decreased when combined with Arformoterol
Arformoterol,Cholecalciferol,decrease,1/2,M,The metabolism of Cholecalciferol can be decreased when combined with Arformoterol
Arformoterol,Cimetidine,decrease,1/2,M,The metabolism of Cimetidine can be decreased when combined with Arformoterol
Arformoterol,Cinacalcet,decrease,1/2,M,The metabolism of Cinacalcet can be decreased when combined with Arformoterol
Arformoterol,Clemastine,decrease,1/2,M,The metabolism of Clemastine can be decreased when combined with Arformoterol
Arformoterol,Clomipramine,decrease,1/2,M,The metabolism of Clomipramine can be decreased when combined with Arformoterol
Arformoterol,Clotrimazole,decrease,1/2,M,The metabolism of Clotrimazole can be decreased when combined with Arformoterol
Arformoterol,Clozapine,decrease,1/2,M,The metabolism of Clozapine can be decreased when combined with Arformoterol
Arformoterol,Cocaine,decrease,1/2,M,The metabolism of Cocaine can be decreased when combined with Arformoterol
Arformoterol,Crisaborole,decrease,1/2,M,The metabolism of Crisaborole can be decreased when combined with Arformoterol
Arformoterol,Cyclosporine,decrease,1/2,M,The metabolism of Cyclosporine can be decreased when combined with Arformoterol
Arformoterol,Darifenacin,decrease,1/2,M,The metabolism of Darifenacin can be decreased when combined with Arformoterol
Arformoterol,Desipramine,decrease,1/2,M,The metabolism of Desipramine can be decreased when combined with Arformoterol
Arformoterol,Diphenhydramine,decrease,1/2,M,The metabolism of Diphenhydramine can be decreased when combined with Arformoterol
Arformoterol,Dosulepin,decrease,1/2,M,The metabolism of Dosulepin can be decreased when combined with Arformoterol
Arformoterol,Eslicarbazepineacetate,decrease,1/2,M,The metabolism of Eslicarbazepineacetate can be decreased when combined with Arformoterol
Arformoterol,Esomeprazole,decrease,1/2,M,The metabolism of Esomeprazole can be decreased when combined with Arformoterol
Arformoterol,Floxuridine,decrease,1/2,M,The metabolism of Floxuridine can be decreased when combined with Arformoterol
Arformoterol,Fluorouracil,decrease,1/2,M,The metabolism of Fluorouracil can be decreased when combined with Arformoterol
Arformoterol,Fluoxetine,decrease,1/2,M,The metabolism of Fluoxetine can be decreased when combined with Arformoterol
Arformoterol,Fluvastatin,decrease,1/2,M,The metabolism of Fluvastatin can be decreased when combined with Arformoterol
Arformoterol,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Arformoterol
Arformoterol,Gemfibrozil,decrease,1/2,M,The metabolism of Gemfibrozil can be decreased when combined with Arformoterol
